barcode,age_category,round,treatment,hours,R_mean,R_sd,R_median,G_mean,G_sd,G_median,B_mean,B_sd,B_median
UCSB-IZC00062795,freezer,1,dry,0,54.551,28.387,57,101.41,38.389,107,49.252,20.972,51
UCSB-IZC00062797,freezer,1,dry,0,67.013,35.205,68,90.771,40.343,95,41.24,22.699,41
UCSB-IZC00062804,freezer,1,dry,0,56.755,43.813,57,90.731,47.66,96,45.458,32.564,43
UCSB-IZC00062816,freezer,1,dry,0,63.255,32.117,66,85.705,38.624,89,43.266,20.036,46
UCSB-IZC00063968,freezer,1,humid,0,59.335,47.255,61,103.999,52.27,107,56.888,36.319,53
UCSB-IZC00063974,freezer,1,humid,0,74.448,45.391,76,111.994,50.077,116,49.196,33.61,45
UCSB-IZC00063995,freezer,1,dry,0,45.388,35.026,46,89.2,43.526,95,51.604,30.43,52
UCSB-IZC00064001,freezer,1,dry,0,44.626,33.13,43,99.748,47.371,102,54.588,32.168,52
UCSB-IZC00064320,freezer,1,humid,0,76.124,40.47,78,108.869,49.625,115,47.361,26.874,47
UCSB-IZC00045248,freezer,1,humid,7,76.272,32.202,73,100.413,35.923,100,44.694,18.983,44
UCSB-IZC00045541,freezer,1,humid,7,57.496,37.701,57,120.681,45.677,125,61.734,28.055,59
UCSB-IZC00062771,freezer,1,humid,7,96.517,57.668,90,127.853,59.343,127,65.472,43.406,58
UCSB-IZC00062795,freezer,1,dry,7,57.592,29.603,59,106.351,41.065,110,65.976,27.628,68
UCSB-IZC00062797,freezer,1,dry,7,79.17,23.475,80,117.177,29.391,120,60.479,17.931,59
UCSB-IZC00062804,freezer,1,dry,7,54.169,46.391,52,121.479,51.373,121,89.83,45.991,87
UCSB-IZC00062816,freezer,1,dry,7,76.99,34.223,79,105.658,40.636,109,59.112,25.364,60
UCSB-IZC00063968,freezer,1,humid,7,75.038,42.93,75,124.802,43.48,121,66.615,34.28,61
UCSB-IZC00063974,freezer,1,humid,7,86.429,49.344,82,117.849,49.658,118,57.55,41.43,50
UCSB-IZC00063995,freezer,1,dry,7,39.642,31.836,39,99.915,45.979,103,79.882,39.071,79
UCSB-IZC00064001,freezer,1,dry,7,53.913,36.853,54,127.915,47.198,126,82.406,36.378,77
UCSB-IZC00064320,freezer,1,humid,7,89.903,41.79,91,111.002,47.662,115,48.798,25.953,48
UCSB-IZC00045248,freezer,1,humid,24,82.118,39.228,85,102.798,42.422,108,33.92,21.111,33
UCSB-IZC00045541,freezer,1,humid,24,61.344,43.902,62,97.05,48.547,95,36.744,29.83,33
UCSB-IZC00062771,freezer,1,humid,24,81.712,43.103,83,112.189,46.611,114,44.677,33.441,40
UCSB-IZC00062795,freezer,1,dry,24,17.269,22.296,6,95.67,41.909,101,75.586,38.192,76
UCSB-IZC00062797,freezer,1,dry,24,36.859,27.954,37,95.086,40.262,97,65.449,34.082,65
UCSB-IZC00062804,freezer,1,dry,24,27.233,32.124,15,105.512,46.744,108,81.797,39.649,83
UCSB-IZC00062816,freezer,1,dry,24,56.35,27.951,58,104.986,36.745,103,68.306,26.857,65
UCSB-IZC00063968,freezer,1,humid,24,64.422,49.079,63,103.269,45.519,106,44.464,33.348,42
UCSB-IZC00063974,freezer,1,humid,24,60.831,37.246,65,95.081,41.046,97,36.696,25.957,34
UCSB-IZC00063995,freezer,1,dry,24,30.307,30.389,22,103.049,45.235,104,87.748,42.204,84
UCSB-IZC00064001,freezer,1,dry,24,17.392,22.762,7,95.92,42.624,98,83.328,40.432,83
UCSB-IZC00064320,freezer,1,humid,24,84.201,39.813,89,102.651,42.66,109,36.403,21.228,37
UCSB-IZC00045248,freezer,1,humid,31,101.627,50.077,101,118.176,51.23,124,48.288,35.04,43
UCSB-IZC00045541,freezer,1,humid,31,91.479,52.708,88,121.42,50.016,118,59.978,42.25,52
UCSB-IZC00062771,freezer,1,humid,31,89.382,44.94,89,116.972,48.228,119,53.401,28.317,52
UCSB-IZC00062795,freezer,1,dry,31,31.668,34.673,23,118.033,42.886,117,102.603,38.617,100
UCSB-IZC00062797,freezer,1,dry,31,53.021,32.008,53,97.585,40.449,94,72.012,32.897,69
UCSB-IZC00062804,freezer,1,dry,31,29.748,32.236,23,106.079,45.202,105,85.58,39.018,84
UCSB-IZC00062816,freezer,1,dry,31,68.77,39.151,67,115.105,43.765,111,85.657,37.569,78
UCSB-IZC00063968,freezer,1,humid,31,84.623,43.163,83,122.979,35.781,122,54.185,24.154,52
UCSB-IZC00063974,freezer,1,humid,31,85.289,50.623,83,115.994,50.23,116,58.123,42.4,52
UCSB-IZC00063995,freezer,1,dry,31,38.934,34.275,35,100.499,52.308,96,85.522,48.099,77
UCSB-IZC00064001,freezer,1,dry,31,23.597,29.217,12,86.977,49.062,88,78.376,45.252,79
UCSB-IZC00064320,freezer,1,humid,31,107.652,47.851,105,126.097,52.5,129,45.508,25.751,45
UCSB-IZC00045248,freezer,1,humid,48,114.758,44.842,105,129.479,43.343,119,68.407,35.308,58
UCSB-IZC00045541,freezer,1,humid,48,77.827,46.733,76,131.099,43.855,128,65.636,34.427,60
UCSB-IZC00062771,freezer,1,humid,48,103.441,54.635,101,120.194,55.174,127,59.758,37.022,55
UCSB-IZC00062795,freezer,1,dry,48,25.785,27.609,17,106.414,44.827,108,90.217,41.491,89
UCSB-IZC00062797,freezer,1,dry,48,37.782,24.175,40,100.194,28.188,102,81.121,26.031,79
UCSB-IZC00062804,freezer,1,dry,48,40.898,45.623,33,112.151,47.913,112,90.327,44.466,90
UCSB-IZC00062816,freezer,1,dry,48,49.856,33.584,49,108.163,40.061,107,82.064,34.726,78
UCSB-IZC00063968,freezer,1,humid,48,79.076,45.29,76,117.368,40.561,119,56.209,22.096,54
UCSB-IZC00063974,freezer,1,humid,48,84.504,42.402,85,131.721,38.529,130,68.129,35.686,62
UCSB-IZC00063995,freezer,1,dry,48,28.284,28.588,22,92.201,40.376,97,78.438,36.689,79
UCSB-IZC00064001,freezer,1,dry,48,20.976,25.606,9,105.768,44.134,106,100.735,42.578,101
UCSB-IZC00064320,freezer,1,humid,48,99.847,42.045,100,117.601,43.191,123,50.79,24.223,50
UCSB-IZC00045248,freezer,1,humid,55,88.665,45.968,90,97.881,46.694,101,42.74,23.264,42
UCSB-IZC00045541,freezer,1,humid,55,59.925,35.756,60,107.175,46.85,111,48.966,24.355,48
UCSB-IZC00062771,freezer,1,humid,55,101.191,52.622,95,124.172,55.896,123,56.232,36.357,53
UCSB-IZC00062795,freezer,1,dry,55,26.48,26.326,22,100.034,46.281,101,86.91,44.143,84
UCSB-IZC00062797,freezer,1,dry,55,44.431,25.731,44,102.672,35.632,103,82.064,31.392,81
UCSB-IZC00062804,freezer,1,dry,55,32.033,32.11,30,112.116,45.915,108,91.213,42.334,88
UCSB-IZC00062816,freezer,1,dry,55,56.706,38.303,55,103.995,44.507,104,78.835,37.748,77
UCSB-IZC00063968,freezer,1,humid,55,77.932,44.545,76,106.847,45.299,106,51.422,29.076,49
UCSB-IZC00063974,freezer,1,humid,55,74.196,42.618,77,112.967,42.757,116,55.548,31.084,52
UCSB-IZC00063995,freezer,1,dry,55,36.168,31.572,33,104.368,45.918,105,90.085,42.29,87
UCSB-IZC00064001,freezer,1,dry,55,26.475,26.176,21,104.172,46.512,103,98.12,47.362,95
UCSB-IZC00064320,freezer,1,humid,55,107.331,50.598,104,123.585,56.358,127,45.486,26.68,43
UCSB-IZC00045248,freezer,2,dry,0,90.743,43.1,88,112.227,42.276,113,53.33,28.878,52
UCSB-IZC00045541,freezer,2,dry,0,69.183,44.49,67,113.381,47.175,114,49.032,30.372,47
UCSB-IZC00062771,freezer,2,dry,0,82.343,41.462,88,117.954,48.836,121,58.059,32.346,55
UCSB-IZC00062795,freezer,2,humid,0,41.672,38.184,36,124.745,49.451,116,101.344,44.797,91
UCSB-IZC00062797,freezer,2,humid,0,73.535,35.378,70,116.919,40.418,111,74.452,34.443,68
UCSB-IZC00062804,freezer,2,humid,0,38.924,33.371,37,100.35,46.529,106,62.406,35.097,66
UCSB-IZC00062816,freezer,2,humid,0,77.697,39.578,77,121.994,48.316,113,88.068,43.035,77
UCSB-IZC00063968,freezer,2,dry,0,68.505,43.358,70,111.072,31.861,116,48.007,21.291,47
UCSB-IZC00063974,freezer,2,dry,0,77.932,36.017,83,116.502,35.386,119,51.39,24.208,49
UCSB-IZC00063995,freezer,2,humid,0,38.461,30.869,39,93.291,48.412,96,63.762,39.733,63
UCSB-IZC00064001,freezer,2,humid,0,19.913,26.045,6,88.116,42.745,94,71.928,40.833,75
UCSB-IZC00064320,freezer,2,dry,0,102.284,44.602,98,124.264,48.798,120,51.665,28.609,50
UCSB-IZC00045248,freezer,2,dry,7,77.661,37.685,78,108.397,41.11,109,45.844,23.908,45
UCSB-IZC00045541,freezer,2,dry,7,51.796,47.264,44,107.775,52.854,105,55.111,37.774,49
UCSB-IZC00062771,freezer,2,dry,7,72.603,43.493,77,114.412,49.86,120,54.664,30.266,52
UCSB-IZC00062795,freezer,2,humid,7,34.373,34.488,26,108.762,48.127,113,74.395,36.793,74
UCSB-IZC00062797,freezer,2,humid,7,88.148,41.436,83,122.65,43.628,118,63.805,36.991,58
UCSB-IZC00062804,freezer,2,humid,7,62.361,41.54,66,139.881,44.133,139,75.757,37.764,71
UCSB-IZC00062816,freezer,2,humid,7,74.849,36.719,76,111.15,41.799,111,63.45,29.006,62
UCSB-IZC00063968,freezer,2,dry,7,59.298,55.395,52,112.611,51.832,114,62.448,40.463,55
UCSB-IZC00063974,freezer,2,dry,7,70.756,40.836,74,110.069,42.094,115,48.038,26.955,46
UCSB-IZC00063995,freezer,2,humid,7,61.77,40.56,66,116.223,47.752,120,70.66,35.922,68
UCSB-IZC00064001,freezer,2,humid,7,24.798,27.128,16,111.438,39.549,111,78.522,32.343,73
UCSB-IZC00064320,freezer,2,dry,7,92.431,40.106,94,121.133,47.59,124,42.442,23.322,42
UCSB-IZC00045248,freezer,2,dry,24,30.098,35.445,15,77.891,40.68,73,43.009,34.783,40
UCSB-IZC00045541,freezer,2,dry,24,11.954,22.184,1,84.78,46.73,82,55.681,39.037,53
UCSB-IZC00062771,freezer,2,dry,24,31.129,35.236,13,100.239,45.282,104,69.535,37.814,70
UCSB-IZC00062795,freezer,2,humid,24,35.25,34.168,29,102.187,44.99,105,61.448,36.702,64
UCSB-IZC00062797,freezer,2,humid,24,79.224,30.791,83,108.636,35.415,112,38.341,23.716,41
UCSB-IZC00062804,freezer,2,humid,24,67.499,42.496,71,127.778,36.141,129,50.96,35.812,47
UCSB-IZC00062816,freezer,2,humid,24,68.881,29.533,76,104.701,36.167,109,49.317,22.584,51
UCSB-IZC00063968,freezer,2,dry,24,6.196,13.763,1,75.231,37.47,73,57.254,30.202,57
UCSB-IZC00063974,freezer,2,dry,24,33.118,31.455,28,93.501,35.825,94,53.086,27.653,54
UCSB-IZC00063995,freezer,2,humid,24,56.328,37.059,62,108.851,42.86,113,59.693,33.681,59
UCSB-IZC00064001,freezer,2,humid,24,24.745,34.03,6,111.013,44.781,110,79.011,43.324,77
UCSB-IZC00064320,freezer,2,dry,24,33.441,37.428,21,110.447,41.473,114,66.245,33.174,66
UCSB-IZC00045248,freezer,2,dry,31,26,33.353,10,77.943,41.677,73,45.183,33.98,42
UCSB-IZC00045541,freezer,2,dry,31,8.586,22.027,1,72.735,43.544,68,49.199,38.745,44
UCSB-IZC00062771,freezer,2,dry,31,17.314,27.022,3,74.725,48.895,73,54.334,39.509,54
UCSB-IZC00062795,freezer,2,humid,31,26.192,31.317,9,91.067,45.501,97,54.065,35.133,57
UCSB-IZC00062797,freezer,2,humid,31,70.502,32.654,75,104.421,35.54,109,38.685,24.539,41
UCSB-IZC00062804,freezer,2,humid,31,65.159,41.677,68,121.354,36.076,120,46.313,33.199,43
UCSB-IZC00062816,freezer,2,humid,31,69.198,38.231,73,101.585,41.045,103,46.888,28.072,48
UCSB-IZC00063968,freezer,2,dry,31,11.425,33.232,1,70.201,53.077,62,55.753,44.115,46
UCSB-IZC00063974,freezer,2,dry,31,20.183,26.714,5,88.257,34.686,93,58.124,29.26,59
